"filename", "language", "Ignore", "JSON with Comments", "JSON", "JavaScript", "JavaScript JSX", "HTML", "Markdown", "YAML", "CSV", "Properties", "Docker", "CSS", "XML", "MS SQL", "comment", "blank", "total"
"c:\Ministerra\BackEnd\monitoring\grafana\provisioning\dashboards-json\cluster.json", "JSON", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20
"c:\Ministerra\BackEnd\monitoring\grafana\provisioning\dashboards-json\endpoints.json", "JSON", 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 74
"c:\Ministerra\BackEnd\monitoring\grafana\provisioning\dashboards-json\nodejs-runtime.json", "JSON", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21
"c:\Ministerra\BackEnd\monitoring\grafana\provisioning\dashboards-json\overview.json", "JSON", 0, 0, 349, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 356
"c:\Ministerra\BackEnd\monitoring\grafana\provisioning\dashboards-json\socketio.json", "JSON", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"c:\Ministerra\BackEnd\monitoring\grafana\provisioning\dashboards\dashboards.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 1, 12
"c:\Ministerra\BackEnd\monitoring\grafana\provisioning\datasources\datasources.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 1, 22
"c:\Ministerra\BackEnd\monitoring\loki\loki-config.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 8, 44
"c:\Ministerra\BackEnd\monitoring\otel-collector\otel-collector-config.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 8, 52
"c:\Ministerra\BackEnd\monitoring\prometheus\alerts\basic.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 6, 57
"c:\Ministerra\BackEnd\monitoring\prometheus\alerts\slo-burn.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 1, 6, 28
"c:\Ministerra\BackEnd\monitoring\prometheus\prometheus.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 1, 12, 65
"c:\Ministerra\BackEnd\monitoring\promtail\promtail-config.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 4, 81
"c:\Ministerra\BackEnd\monitoring\tempo\tempo-config.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 7, 25
"c:\Ministerra\BackEnd\nodemon.json", "JSON", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 25
